Tracking Number,Coll. Subset,AMNH Acc Number,Division Accession Number,USI Barcode Number,Other Numbers Category,Catalog Number,Database Source,Class,Subclass,Order,Suborder,Family Name in Database,Family Author Name - Last 1 ,Family Author Name - Last 2,Family Author Name - Last 3,Family Author Name - Year,Real/Upated Family Name,Genus Name,Genus Author Name - Last 1 ,Genus Author Name - Last 2,Genus Author Name - Last 3,Genus Author Name - Last 4,Genus Author Name - Last 5,Genus Author Name - Last 6,Genus Author Name - Year,Real/Upated Genus Name,Subgenus Name,Species Name in Database,Species Name Real/Updated,Species Mispelled,Species Author Name - Last 1 ,Subspecies Author Name - First 1 ,Species Author Name - Middle 1 ,Species Author Name - Last 2 ,Species Author Name - First 2 ,Species Author Name - Middle 2 ,Species Author Name - Last 3 ,Species Author Name - First 3 ,Species Author Name - Last 4,Species Author Name - Last 5,Species Author Name - Last 6,Species Year,Subspecies Name,Subspecies Author Name - Last 1 ,Subspecies Author Name - First 1 .1,Subspecies Author Name - Middle 1 ,Subspecies Author Name - Last 2 ,Subspecies Author Name - First 2 ,Subspecies Author Name - Middle 2 ,Subspecies Date,Notes: Taxonomy,Determined by Verbatim,Determined by Title,Determined by First Name 1,Determined by Middle Name 1,Determined by Middle Name 1.1,Determined by Last  Name 1,Determined by  Suffix 1,Determined by First Name 2,Determined by Middle Name 2,Determined by Last  Name 2,Determined by First Name 3,Determined by Middle Name 3,Determined by Last  Name 3,Determined by First Name 4,Determined by Middle Name 4,Determined by Last  Name 4,Determined by First Name 5,Determined by Middle Name 5,Determined by Last  Name 5,Determined by First Name 6,Determined by Middle Name 6,Determined by Last  Name 6,Determined by Year,Determined by Institution,Notes: Determined By,NOTES: Specimen Notes,Notes: on Labels,Type of Type,Specimen Number,Photographed,Storage Medium,Preservation History,Storage #/ Storage Container,NOTES: Storage,CITES Status,Sex,Stage,Body Part/Location,Host AMNH Catalog Record Number (link to),Host AMNH Relationship,Host Condition,Host Relationship Other Institution Voucher/Catalog  Number,Host Other Instituion Relationship,Host Common Name,Host/Associate Relationship Other_Host Genus,Host/Associate Relationship Other_Host Species,Host/Associate Relationship Other_Host Subspecies,Host Sex,Host Condition.1,Host/Associate Relationship Other_Host Institution,Collecting Method,Locality Verbatim,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Country,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Notes: Locality,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector Verbatim,Collection,Collection2,Collector1_Title,Collector1_FirstName,Collector1_MiddleName1,Collector1_MiddleName2,Collector1_LastName,Collector1_Suffix,Collector1_Institution,Collector2_Title,Collector2_FirstName,Collector2_MiddleName,Collector2_MiddleName2,Collector2_LastName,Collector2_Suffix,Collector3_FirstName,Collector3_MiddleName,Collector3_MiddleName2,Collector3_LastName,Collector3_Suffix,Collector4_FirstName,Collector4_MiddleName,Collector4_LastName,Collector5_FirstName,Collector5_MiddleName,Collector5_LastName,Collector6_FirstName,Collector6_MiddleName,Collector6_LastName,Date Collection Verbatim DB,Collection Date Season,Collection Year (from),Collection Month (from),Collection Day (from),Collection Year (to),Collection Month (to),Collection Day (to),Donor / Expedition / CollectionSource,Donor / Expedition / CollectionSource.1,Donor (Received from) Verbatim,Donor (Received From) Institution,Donor Prefix,Donor 1 First Name,Donor 1 Middle Name,Donor 1 Middle Name2,Donor 1 Last Name,Donor 1 Suffix,Donor First Name2,Donor Middle Name2,Donor Last Name2,Donor from2 Suffix,Donor First Name3,Donor Middle Name3,Donor Last Name3,Date Rcvd verbatim,Date Rcvd. Season,DateRcvd Year (from),DateRcvd Month (from),DateRcvd Day (from),DateRcvd Year (to),DateRcvd Month (to),DateRcvd Day (to),NOTES: Accession Note,Associated Publication (verbatim),Journal_Title,Book_Title,Chapter_Number,Article_Journal_Vol Number,Article_Journal _Issue,Article Number,Article_Journal_pp,Article_Journal_Plates/Figures,Plate,Publication Year,Author Verbatim,Article_Author LastName,Article_Author First Name,Article_Author Middle Name,ArticleAuthor2_LastName,ArticleAuthor2_FirstName,ArticleAuthor2_MiddleName,ArticleAuthor3_LastName,ArticleAuthor3_FirstName,ArticleAuthor3_MiddleName,Author4 Last Name4,Article_Author First Name4,Article_Author Middle Name4,Author5 Last Name5,Article_Author First Name5,Article_Author Middle Name5,Author6 Last Name6,Article_Author First Name6,Article_Author Middle Name6,Article Title,Notes: Publications,new_continent,new_country,new_department / Province / State,new_county,new_city/Town/Hamlet,new_specific Locale,new_coordinates,new_longitude,new_latitude
M90136,Mollusca,,,,Catalog No.,28412,Filemake Pro Mollusca,,,,,Arcidae,,,,,,Tetrarca,,,,,,,,,,tetragona,,,Poli,,,,,,,,,,,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,,,,,"('34.5531284', '18.0480105')",18.0480105,34.5531284
M90128,Mollusca,,,,Catalog No.,27054,Filemake Pro Mollusca,,,,,Pectinidae,,,,,,,,,,,,,,,,jacobaeus,,,(Linne,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Medeterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,,,,,"('34.5531284', '18.0480105')",18.0480105,34.5531284
M59233,Mollusca,,10050,,Catalog No.,280440,Filemake Pro Mollusca,,,,,Muricidae,,,,,,Murexiella,,,,,,,,,,bojadorensis,,,Locard,,,,,,,,,,,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,albino,,,,,,,,,,,,,,,,Atlantic Ocean,,,,,,,,,,,"Senegal,","Yenne,",,,,45 M.,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"November, 1983",,,,,,,,Katherine C. Vaught,Katherine C. Vaught Collection,,,,,,,,,,,,,,,,1995-07-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Ocean,Senegal,Yonne,,,,"('48.1998007', '3.2787502')",3.2787502,48.1998007
M62913,Mollusca,,9853,,Catalog No.,291779,Filemake Pro Mollusca,,,,,Ischnochitonidae,,,,,,Ischnochiton,,,,,,,,,,oniscus,,,Krauss,,,,,,,,,,,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,baby,,,,,,,,,,,,,,,,Atlantic Ocean,,,,,,,,,,,"South Africa,","Cape Province,","The Haven,",,"6 miles north,",,,,,,,,,,,,,,,,,,,,,,,,,G.Eddison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"November 22,1961",,,,,,,,Grace C.Eddison,Grace C.Eddison MD Collection.,,,,,,,,,,,,,,,,"25 October, 1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Ocean,South Africa,Cape Province,The Haven,,6 miles north,"('-33.9140835', '18.4203174')",18.4203174,-33.9140835
M82848,Mollusca,,9587,,Catalog No.,276694,Filemake Pro Mollusca,,,,,Muricidae,,,,,,Ocenebra,,,,,,,,,,circumtexta,,,Stearns,,,,,,,,,,,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,black form,,,,,,,,,,,,,,,,Pacific Ocean,,,,,,,,,,,"United States,","California,","Cayucos,",,,Collected at low tide.,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melvin B. Robin,Melvin B. Robin Collection,,,,,,,,,,,,,,,,1987-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Ocean,United States,California,Cayucos,,,"('35.4427511', '-120.8921254')",-120.8921254,35.4427511
M46363,Mollusca,,10055,,Catalog No.,302513,Filemake Pro Mollusca,,,,,Cypraeidae,,,,,,Cypraea,,,,,,,,,,talpa,,,(Linne,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,"Gulf of Oman,","South of Muscat,",,"in 40 feet of water, among coral rubble,","Traded with A. Hrdlicka, July 1985",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982-02-01 00:00:00,,,,,,,,Dr. Edward A. Dunlap,Dr. Edward A. Dunlap Collection,,,,,,,,,,,,,,,,1995-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,Gulf of Oman,South of Muscat,,,"('23.58589', '58.4059227')",58.4059227,23.58589
M46364,Mollusca,,10055,,Catalog No.,302513,Filemake Pro Mollusca,,,,,Cypraeidae,,,,,,Cypraea,,,,,,,,,,talpa,,,(Linne,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,"Gulf of Oman,","South of Muscat,",,"in 40 feet of water, among coral rubble,","Traded with A. Hrdlicka, July 1985",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982-02-01 00:00:00,,,,,,,,Dr. Edward A. Dunlap,Dr. Edward A. Dunlap Collection,,,,,,,,,,,,,,,,1995-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,Gulf of Oman,South of Muscat,,,"('23.58589', '58.4059227')",58.4059227,23.58589
M60200,Mollusca,,9946,,Catalog No.,310114,Filemake Pro Mollusca,,,,,Marginellidae,,,,,,Prunum,,,,,,,,,,fortunata,,,(Clover & Macca,,,,,,,,,,,1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,"North-East,","Ras Hafun,",,"Trawled 250m,",,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Sage,Walter E. Sage Collection,,,,,,,,,,,,,,,,1993-12-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,northeast,Ras Hafun,,Trawled 250m,"('10.4430556', '51.30444439999999')",51.30444439999999,10.4430556
M31904,Mollusca,,10319,,Catalog No.,309517,Filemake Pro Mollusca,,,,,Muricidae,,,,,,Hexaplex,,,,,,,,,,trunculus,,,(Linne,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,dye shell,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,,,,Gift of D'Attilio,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raeihle,Raeihle Collection,,,,,,,,,,,,,,,,1997-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,,,,"('34.5531284', '18.0480105')",18.0480105,34.5531284
M27404,Mollusca,,9478,,Catalog No.,241415,Filemake Pro Mollusca,,,,,Fasciolariidae,,,,,,Pleuroploca,,,,,,,,,,trapezium,,,(Linnaeus,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,f. audouini,,,,,,,,,,,,,,,,Pacific Ocean,,,,,,,,,,,"Japan,","Wakayama Prefecture,","Kusui, Nada-Cho,",,,20-40 fathoms,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon & Ruth Juster,Leon & Ruth Juster Collection,,,,,,,,,,,,,,,,1986-03-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Ocean,Japan,Wakayama Prefecture,Kusui NadaCho,,,"('33.8200107', '135.1929494')",135.1929494,33.8200107
M72079,Mollusca,,10319,,Catalog No.,309185,Filemake Pro Mollusca,,,,,Unionidae,,,,,,Lampsilis,,,,,,,,,,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Florida,","Swanee River at Branford,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-11-01 00:00:00,,,,,,,,Raeihle,Raeihle Collection,,,,,,,,,,,,,,,,1997-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,"('27.6648274', '-81.5157535')",-81.5157535,27.6648274
M71719,Mollusca,,10319,,Catalog No.,308582,Filemake Pro Mollusca,,,,,Melongenidae,,,,,,Busycon,,,,,,,,,,perversum,,,(Linne,,,,,,,,,,,1758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"New York,","Long Island,",,"Orient Point,",ID: Dr. Emerson,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raeihle,Raeihle Collection,,,,,,,,,,,,,,,,1997-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,New York,Long Island,,Orient Point,"('41.1523202', '-72.251191')",-72.251191,41.1523202
M72553,Mollusca,,M00215,,Catalog No.,310622,Filemake Pro Mollusca,,,,,Pinnidae,,,,,,Atrina,,,,,,,,,,rigida,,,(Lightfoot,,,,,,,,,,,1786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,juvs,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Florida,","Sanibel Island,",,"South beach,",,,,,,,,,,,,,,,,,,,,,,,,,Paula M. Mikkelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-9 April 2002,,,,,,,,Paula M. Mikkelsen,,,,,,,,,,,,,,,,,2002-05-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,Sanibel Island,,South beach,"('26.4501705', '-82.038044')",-82.038044,26.4501705
M51267,Mollusca,,6253,,Catalog No.,49509,Filemake Pro Mollusca,,,,,Turridae,,,,,,Turris,,,,,,,,,,crispa,,,1816),,,,,,,,,,,,crispa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Lamarck,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F.A. Constable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louise Constable,Frederick A. Constable Collection,,,,,,,,,,,,,,,,1929-01-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,,,,,"('12.879721', '121.774017')",121.774017,12.879721
M70609,Mollusca,,,,Catalog No.,305683,Filemake Pro Mollusca,,,,,Unionidae,,,,,,Epioblasma,,,,,,,,,,triquetra,,,(Rafinesque,,,,,,,,,,,1820),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,male & female,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Missouri, St.Louis County,","Valley Park,",,"Meramec River, Hwy.141,",,,,,,,,,,,,,,,,,,,,,,,,,Hessie Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966-02-25 00:00:00,,,,,,,,"Hedwig """"Hessie"""" Kemper","Hedwig """"Hessie"""" Kemper Collection",,,,,,,,,,,,,,,,1994-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Missouri StLouis County,Valley Park,,Meramec River Hwy141,"('38.2693251', '-90.8519476')",-90.8519476,38.2693251
M70610,Mollusca,,,,Catalog No.,305684,Filemake Pro Mollusca,,,,,Unionidae,,,,,,Epioblasma,,,,,,,,,,triquetra,,,(Rafinesque,,,,,,,,,,,1820),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,male & female,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Missouri,","Silva,",,"St. Francis River,",,,,,,,,,,,,,,,,,,,,,,,,,Hessie Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967-08-13 00:00:00,,,,,,,,"Hedwig """"Hessie"""" Kemper","Hedwig """"Hessie"""" Kemper Collection",,,,,,,,,,,,,,,,1994-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Missouri,Silva,,St Francis River,"('37.1761626', '-90.4637257')",-90.4637257,37.1761626
M70608,Mollusca,,,,Catalog No.,305682,Filemake Pro Mollusca,,,,,Unionidae,,,,,,Epioblasma,,,,,,,,,,triquetra,,,(Rafinesque,,,,,,,,,,,1820),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Missouri,","Valley Park,",,"Meramec River, Hwy.141,",,,,,,,,,,,,,,,,,,,,,,,,,Hessie Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965-08-18 00:00:00,,,,,,,,"Hedwig """"Hessie"""" Kemper","Hedwig """"Hessie"""" Kemper Collection",,,,,,,,,,,,,,,,1994-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Missouri,Valley Park,,Meramec River Hwy141,"('38.2693251', '-90.8519476')",-90.8519476,38.2693251
M72078,Mollusca,,10319,,Catalog No.,309184,Filemake Pro Mollusca,,,,,Unionidae,,,,,,Lampsilis,,,,,,,,,,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Florida,","Swanee River at Branford,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-11-01 00:00:00,,,,,,,,Raeihle,Raeihle Collection,,,,,,,,,,,,,,,,1997-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,"('27.6648274', '-81.5157535')",-81.5157535,27.6648274
M70791,Mollusca,,,,Catalog No.,306063,Filemake Pro Mollusca,,,,,Ostreidae,,,,,,Crassostrea,,,,,,,,,,virginica,,,(Gmelin,,,,,,,,,,,1791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,Miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"Florida,","Longboat Key,",,"on cerita shell,",,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970-11-19 00:00:00,,,,,,,,"Hedwig """"Hessie"""" Kemper","Hedwig """"Hessie"""" Kemper Collection",,,,,,,,,,,,,,,,1994-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,Longboat Key,,on cerita shell,"('27.4795129', '-82.7042827')",-82.7042827,27.4795129
